Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,23.240000,24.959999,22.230000,23.200001,17.752935,0
2000-02-01,23.549999,27.030001,23.549999,27.030001,20.683689,0
2000-03-01,27.530001,28.360001,24.680000,25.020000,19.145618,0
2000-04-01,23.969999,25.219999,21.070000,23.530001,18.005445,0
2000-05-01,24.120001,24.120001,21.230000,22.170000,16.964756,0
2000-06-01,22.920000,24.590000,22.920000,24.260000,18.564056,0
2000-07-01,24.520000,25.480000,22.920000,23.410000,17.913624,0
2000-08-01,23.280001,25.190001,23.280001,25.190001,19.275700,0
2000-09-01,25.370001,25.420000,23.820000,24.440001,18.701790,0
2000-10-01,23.990000,23.990000,21.730000,23.379999,17.890667,0
2000-11-01,23.270000,23.860001,20.980000,20.980000,16.054155,0
2000-12-01,21.490000,22.910000,17.830000,19.440001,14.875735,0
2001-01-01,18.590000,20.590000,18.570000,20.459999,15.847001,0
2001-02-01,20.490000,20.500000,19.110001,19.110001,14.801376,0
2001-03-01,19.070000,19.530001,17.450001,18.180000,14.081060,0
2001-04-01,17.740000,19.590000,17.180000,19.590000,15.173157,0
2001-05-01,19.790001,20.900000,19.600000,20.070000,15.544934,0
2001-06-01,20.290001,20.879999,19.590000,20.879999,16.172310,0
2001-07-01,20.340000,20.340000,19.370001,19.799999,15.335810,0
2001-08-01,19.990000,19.990000,19.150000,19.160000,14.840101,0
2001-09-01,19.090000,19.090000,15.500000,16.580000,12.841802,0
2001-10-01,16.280001,17.969999,16.280001,17.540001,13.585354,0
2001-11-01,17.820000,19.000000,17.740000,18.900000,14.638726,0
2001-12-01,18.740000,20.209999,18.740000,19.820000,15.351300,0
2002-01-01,19.770000,20.260000,19.049999,19.610001,15.359648,0
2002-02-01,19.490000,19.490000,18.610001,19.080000,14.944514,0
2002-03-01,19.440001,20.610001,19.440001,20.610001,16.142910,0
2002-04-01,20.530001,21.290001,20.209999,20.799999,16.291716,0
2002-05-01,20.809999,20.930000,19.900000,19.900000,15.586792,0
2002-06-01,19.360001,19.389999,18.500000,18.990000,14.874019,0
2002-07-01,18.410000,18.410000,14.970000,16.139999,12.641747,0
2002-08-01,16.010000,16.860001,15.100000,16.100000,12.610414,0
2002-09-01,15.610000,16.230000,14.690000,14.940000,11.701838,0
2002-10-01,15.180000,15.440000,13.490000,15.420000,12.077800,0
2002-11-01,15.830000,16.950001,15.240000,16.950001,13.276182,0
2002-12-01,16.879999,16.879999,15.630000,15.660000,12.265783,0
2003-01-01,16.049999,16.290001,15.040000,15.230000,12.072958,0
2003-02-01,15.150000,15.150000,14.520000,14.770000,11.708313,0
2003-03-01,14.720000,15.420000,14.180000,14.950000,11.850999,0
2003-04-01,15.120000,16.350000,15.120000,16.350000,12.960792,0
2003-05-01,16.360001,17.910000,16.360001,17.910000,14.197419,0
2003-06-01,18.010000,18.680000,17.959999,18.270000,14.482798,0
2003-07-01,18.360001,19.440001,18.360001,19.250000,15.259655,0
2003-08-01,18.980000,20.180000,18.490000,20.180000,15.996869,0
2003-09-01,20.530001,20.969999,19.730000,19.850000,15.735275,0
